Identifier,Title
BU19591991,Buitengebied Genderen
BU00600000,Nes
BU00600001,Buren
BU00600002,Ballum
BU00600003,Hollum
BU00600007,Verspreide huizen Ballum
BU00600008,Verspreide huizen Nes
BU00600009,Verspreide huizen Hollum
BU03070100,Hof
BU03070101,Nieuwstraat e.o.
BU03070102,Mooierstraat e.o.
BU03070103,Lieve Vrouwekerkhof
BU03070104,Coninckstraat e.o.
BU03070105,Beestenmarkt
BU03070106,Grote Haag
BU03070107,Stadhuisplein
BU03070108,Schimmelpenninckbuurt
BU03070200,Smallepad e.o.
BU03070202,Snouckaertlaan e.o.
BU03070204,Zonnehof
BU03070300,Rivierenbuurt-Oost
BU03070301,Rivierenbuurt-West
BU03070302,Gerrit van Stellingwerfstraat e.o.
BU03070303,Bloemenbuurt-Oost
BU03070304,Bloemenbuurt-West
BU03070305,Bomenbuurt
BU03070306,Puntenburg
BU03070307,Piet Mondriaanlaan e.o.
BU03070308,Wagenwerkplaats
BU03070309,Spooremplacement
BU03070401,Eemplein-Nieuwe Stad
BU03070402,Kop van Isselt
BU03070504,Isselt-Oost
BU03070505,Isselt-West
BU03070600,Jericho / Jeruzalem
BU03070601,Sterrenbeeldenbuurt
BU03070603,Gildekwartier
BU03070700,Kruiskamp-Noord
BU03070701,Kruiskamp-Midden
BU03070702,Kruiskamp-Zuid
BU03070800,Vuurtoren
BU03070801,De Plaatsen
BU03070803,Koperhorst
BU03070900,Elly Takmastraat e.o.
BU03070902,Camera Obscurastraat e.o.
BU03070903,Queekhoven e.o.
BU03070905,Het Gein
BU03070906,Park Schothorst
BU03071000,Liendert-Noord
BU03071001,Zangvogelbuurt
BU03071002,De Horsten
BU03071003,Watervogelbuurt
BU03071004,Liendert-Zuid
BU03071100,Rustenburg-Noord
BU03071101,Rustenburg-Zuid
BU03071201,Bloeidaal
BU03071202,Stoutenburg-Noord
BU03071203,De Wieken
BU03071204,Vinkenhoef
BU03071205,Nijkerkerstraat e.o.
BU03071300,Schuilenburg-Midden
BU03071301,Schuilenburg-Noord
BU03071302,Schuilenburg-Zuid
BU03071400,Willem III
BU03071401,Componistenbuurt-Noord
BU03071402,Componistenbuurt-Midden
