WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU00900603,422168246,48.0
BU00900701,422169780,49.0
BU00900702,422170547,26.0
BU00900703,422171314,74.0
BU00900704,422172081,37.0
BU00900705,422172848,44.0
BU00900706,422173615,17.0
BU00900801,422175149,130.0
BU00900802,422175916,183.0
BU00900803,422176683,26.0
BU00900901,422178217,97.0
BU00900902,422178984,122.0
BU00900903,422179751,72.0
BU00900904,422180518,95.0
BU00901001,422182052,226.0
BU00901002,422182819,43.0
BU00901003,422183586,168.0
BU00901004,422184353,183.0
BU00901101,422185887,90.0
BU00901201,422187421,110.0
BU00901202,422188188,16.0
BU00901301,422189722,49.0
BU00901302,422190489,72.0
BU00901303,422191256,33.0
BU00902104,422192790,34.0
BU00902105,422193557,28.0
BU00902109,422194324,30.0
BU00902110,422195091,35.0
BU00902114,422195858,12.0
BU00902201,422197392,26.0
BU00902202,422198159,15.0
BU00902203,422198926,4.0
BU00902206,422199693,69.0
BU00902212,422200460,2.0
BU00902213,422201227,2.0
BU00902215,422201994,10.0
BU00902216,422202761,20.0
BU00902307,422204295,56.0
BU00902308,422205062,34.0
BU00902311,422205829,54.0
BU00930000,422753467,101.0
BU00930002,422754234,10.0
BU00930110,422755768,32.0
BU00930111,422756535,33.0
BU00930112,422757302,16.0
BU00930213,422758836,18.0
BU00930214,422759603,4.0
BU00930215,422760370,0.0
BU00930316,422761904,8.0
BU00930317,422762671,0.0
BU00930418,422764205,2.0
BU00930419,422764972,14.0
BU00930420,422765739,4.0
BU00930521,422767273,4.0
BU00930522,422768040,0.0
BU00930523,422768807,4.0
BU00960000,423915472,54.0
BU00960009,423916239,43.0
BU00980001,424714686,10.0
BU00980002,424715453,26.0
BU00980003,424716220,28.0
BU00980004,424716987,57.0
BU00980005,424717754,39.0
BU00980006,424718521,39.0
BU00980007,424719288,54.0
BU00980008,424720055,10.0
BU00980009,424720822,24.0
BU00980010,424721589,48.0
BU00980011,424722356,68.0
BU00980012,424723123,75.0
BU00980013,424723890,14.0
BU00980014,424724657,144.0
BU00980015,424725424,36.0
BU00980016,424726191,38.0
BU00980017,424726958,38.0
BU00980018,424727725,6.0
BU00980019,424728492,20.0
BU00980020,424729259,12.0
BU00980021,424730026,20.0
BU00980101,424731560,12.0
BU00980102,424732327,20.0
BU00980103,424733094,0.0
BU00980104,424733861,0.0
BU00980201,424735395,0.0
BU00980202,424736162,12.0
BU00980301,424737696,2.0
BU00980302,424738463,4.0
BU00980303,424739230,0.0
BU00980304,424739997,8.0
BU00980305,424740764,8.0
BU00980401,424742298,8.0
BU00980402,424743065,2.0
BU00980403,424743832,8.0
BU00980501,424745366,4.0
BU00980502,424746133,2.0
BU00980601,424747667,0.0
BU00980602,424748434,8.0
BU00980701,424749968,24.0
BU00980702,424750735,2.0
BU00980801,424752269,20.0
BU00980802,424753036,6.0
BU00980901,424754570,0.0
BU00980902,424755337,4.0
BU00980903,424756104,0.0
BU00981001,424757638,8.0
BU00981002,424758405,10.0
BU00981003,424759172,31.0
BU00981004,424759939,4.0
BU00981005,424760706,35.0
BU00981006,424761473,3.0
BU00981007,424762240,0.0
BU00981008,424763007,13.0
BU00981009,424763774,20.0
BU00981101,424765308,5.0
BU00981102,424766075,24.0
BU00981201,424767609,16.0
BU00981301,424769143,16.0
BU00981302,424769910,6.0
BU00981401,424771444,0.0
BU00981402,424772211,6.0
BU00981501,424773745,16.0
BU00981502,424774512,12.0
BU01060000,413001062,261.0
BU01060001,413001829,59.0
BU01060002,413002596,351.0
BU01060003,413003363,183.0
BU01060004,413004130,285.0
BU01060005,413004897,618.0
BU01060006,413005664,112.0
BU01060007,413006431,18.0
BU01060008,413007198,90.0
BU01060009,413007965,15.0
BU01060010,413008732,20.0
BU01060011,413009499,30.0
BU01060012,413010266,54.0
BU01060100,413011800,81.0
BU01060101,413012567,59.0
BU01060102,413013334,115.0
BU01060103,413014101,172.0
BU01060104,413014868,29.0
BU01060105,413015635,115.0
BU01060200,413017169,112.0
BU01060201,413017936,40.0
BU01060202,413018703,218.0
BU01060203,413019470,123.0
BU01060204,413020237,6.0
BU01060205,413021004,166.0
BU01060302,413022538,6.0
BU01060303,413023305,8.0
BU01060304,413024072,68.0
BU01060305,413024839,156.0
BU01060306,413025606,26.0
BU01060307,413026373,186.0
BU01060308,413027140,124.0
BU01060309,413027907,64.0
BU01060310,413028674,16.0
BU01060311,413029441,4.0
BU01060400,413030975,2.0
BU01060401,413031742,157.0
BU01060402,413032509,42.0
BU01060403,413033276,24.0
BU01060500,413034810,60.0
BU01060501,413035577,4.0
BU01060502,413036344,31.0
BU01060503,413037111,79.0
BU01060504,413037878,48.0
BU01060505,413038645,14.0
BU01060506,413039412,68.0
BU01060507,413040179,18.0
BU01060508,413040946,21.0
BU01060509,413041713,78.0
BU01060600,413043247,66.0
BU01060601,413044014,54.0
BU01060602,413044781,126.0
BU01060603,413045548,60.0
BU01060604,413046315,20.0
BU01060700,413047849,22.0
BU01060701,413048616,12.0
BU01060702,413049383,4.0
BU01060703,413050150,20.0
BU01060704,413050917,44.0
BU01060705,413051684,28.0
BU01060706,413052451,50.0
BU01060707,413053218,49.0
BU01060708,413053985,68.0
BU01060709,413054752,12.0
BU01060710,413055519,28.0
BU01060711,413056286,12.0
